epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.15627,2.88838,30.6235,1.58824,0.37372,0.5,0.30934,0.09295,2.49435,13.2069,1.41724,0.00034,0.00034,0.00034
2,17.4061,2.07098,3.83729,1.17288,0.02303,0.66667,0.02109,0.00709,1.96626,96.9571,1.45523,0.000637,0.000637,0.000637
3,25.5574,2.08732,1.91135,1.31584,0.72402,0.77778,0.64791,0.19138,2.35849,1.62477,1.74096,0.0008692,0.0008692,0.0008692
4,33.8526,1.89029,1.54732,1.16405,0.71575,0.70021,0.73861,0.28981,2.08002,2.09889,1.5328,0.0010366,0.0010366,0.0010366
5,42.1003,1.89842,1.40981,1.23633,0.77395,0.77778,0.71626,0.23788,2.053,1.59207,1.57666,0.0011392,0.0011392,0.0011392
6,50.308,1.84768,1.32523,1.14353,0.74851,0.66169,0.72488,0.23157,2.10191,1.28227,1.76775,0.0011,0.0011,0.0011
7,58.4535,1.78943,1.15085,1.17024,0.76663,0.91317,0.87485,0.30633,1.79355,1.43402,1.3919,0.00092,0.00092,0.00092
8,66.8831,1.66897,1.06245,1.10419,0.79697,0.83333,0.86063,0.37888,1.7209,1.21181,1.30295,0.00074,0.00074,0.00074
9,75.1258,1.67751,1.016,1.1098,0.73768,0.94444,0.8808,0.39173,1.62051,1.2363,1.26366,0.00056,0.00056,0.00056
10,83.3898,1.66671,1.00336,1.12124,0.80833,0.93746,0.90979,0.3919,1.723,1.09484,1.32839,0.00038,0.00038,0.00038
